WBID,name,type,OC,OC_num,MC,MC_num,RBD,RBD_num
GB103022076840,Pont from Fenwick Burn to Med Burn,River,Pont,3366,Northumberland Rivers,3067,Northumbria,3
GB103022076940,How Burn from Source to Blyth,River,Pont,3366,Northumberland Rivers,3067,Northumbria,3
GB103022076890,Coldcoats Burn Catchment (trib of Pont),River,Pont,3366,Northumberland Rivers,3067,Northumbria,3
GB103022077051,Pont from Small Burn to Blyth,River,Pont,3366,Northumberland Rivers,3067,Northumbria,3
GB103022076930,Blyth from Source to How Burn,River,Pont,3366,Northumberland Rivers,3067,Northumbria,3
GB103022076870,Ponteland to Dinnington Catchment Area,River,Pont,3366,Northumberland Rivers,3067,Northumbria,3
GB30327908,Bolam Lake,Lake,Pont,3366,Northumberland Rivers,3067,Northumbria,3
GB103022076911,Blyth from How Burn to Pont,River,Pont,3366,Northumberland Rivers,3067,Northumbria,3
GB103022076280,Cawledge Burn Catchment (trib of Aln),River,Aln,3006,Northumberland Rivers,3067,Northumbria,3
GB103022076310,Aln from Callaly Burn to Coe Burn,River,Aln,3006,Northumberland Rivers,3067,Northumbria,3
GB103022076380,Shipley Burn from Source to Aln,River,Aln,3006,Northumberland Rivers,3067,Northumbria,3
GB103022076250,Callaly  Burn Catchment (trib of Aln),River,Aln,3006,Northumberland Rivers,3067,Northumbria,3
GB103022076350,Aln from Edlingham Burn to Tidal Limit,River,Aln,3006,Northumberland Rivers,3067,Northumbria,3
GB103022076390,Eglingham Burn from Source to Shipley Burn,River,Aln,3006,Northumberland Rivers,3067,Northumbria,3
GB103022076270,Edlingham Burn from Source to Aln,River,Aln,3006,Northumberland Rivers,3067,Northumbria,3
GB103022076260,Coe Burn Catchment (trib of Aln),River,Aln,3006,Northumberland Rivers,3067,Northumbria,3
GB103022076290,Aln from Source to Callaly Burn,River,Aln,3006,Northumberland Rivers,3067,Northumbria,3
GB103022076340,Aln and Shawdon Burn from Coe Burn to Edlingham Burn,River,Aln,3006,Northumberland Rivers,3067,Northumbria,3
GB103022076680,Ridlees Burn from Source to Coquet,River,Coquet Upper,3107,Northumberland Rivers,3067,Northumbria,3
GB30327556,Linshiels Lake,Lake,Coquet Upper,3107,Northumberland Rivers,3067,Northumbria,3
GB103022076790,Usway Burn from Source to Coquet,River,Coquet Upper,3107,Northumberland Rivers,3067,Northumbria,3
GB103022076750,Netherton Burn Catch (trib of Wreigh Burn),River,Coquet Upper,3107,Northumberland Rivers,3067,Northumbria,3
GB103022076601,Wreigh Burn from Netherton Burn to Coquet,River,Coquet Upper,3107,Northumberland Rivers,3067,Northumbria,3
GB103022076670,Foxton Burn Catchment (trib of Wreigh Burn),River,Coquet Upper,3107,Northumberland Rivers,3067,Northumbria,3
GB103022076700,Black Burn Catchment (trib of Wreigh Burn),River,Coquet Upper,3107,Northumberland Rivers,3067,Northumbria,3
GB103022076590,Holystone Burn Catchment (trib of Coquet),River,Coquet Upper,3107,Northumberland Rivers,3067,Northumbria,3
GB103022076780,Coquet from Source to Usway Burn,River,Coquet Upper,3107,Northumberland Rivers,3067,Northumbria,3
GB103022076770,Alwin Catchment (trib of Coquet),River,Coquet Upper,3107,Northumberland Rivers,3067,Northumbria,3
GB103022076760,Wreigh Burn from Source to Netherton Burn,River,Coquet Upper,3107,Northumberland Rivers,3067,Northumbria,3
GB103022076560,Grasslees Burn,River,Coquet Upper,3107,Northumberland Rivers,3067,Northumbria,3
GB103022076650,Barrow Burn Catchment (trib of Coquet),River,Coquet Upper,3107,Northumberland Rivers,3067,Northumbria,3
GB103022076691,Coquet from Usway Burn to Holystone Burn,River,Coquet Upper,3107,Northumberland Rivers,3067,Northumbria,3
GB103022076820,Lyne from Source to Tidal Limit,River,Lyne and Druridge Bay Coast,3294,Northumberland Rivers,3067,Northumbria,3
